ID ;xFeet;yFeet;demand
5;177439;2363187;0
119;349912.2;2470682.26;6
120;349912.2;2470682.26;6
121;349912.2;2470682.26;6
122;349912.2;2470682.26;6
123;349912.2;2470682.26;6
124;349926.63;2470668.19;8
125;349912.2;2470682.26;6
1416;349912.2;2470682.26;6
1655;351333.33;2470897.67;6
1984;349886;2470919;8
617;374239;2464277;4
1087;397926;2583854;4
1088;397926;2583854;4
1089;397926;2583854;6
1090;397926;2583854;8
1091;402053;2545487;8
1092;397926;2583854;8
1093;382587;2548271;8
1094;397926;2583854;8
1095;398016.03;2583838.75;4
1096;397926;2583854;16
1097;382863;2553391;16
1098;395305;2563748;4
1099;393944;2560783;16
1100;388772.37;2556834.18;4
1101;383570;2549775;16
1102;381930;2552284;6
1103;402053;2545487;4
1104;397926;2583854;4
1105;397926;2583854;4
1106;397926;2583854;6
1107;402053;2545487;4
1108;402053;2545487;12
1109;395174;2547252;2
1161;393933;2560766;2
1162;397063.94;2546327.28;2
1163;397926;2583854;8
1164;400057;2538985;4
1169;397926;2583854;2
1170;386756.58;2542305.19;2
1171;397926;2583854;6
1173;397926;2583854;8
1174;390708;2559015;8
1183;390600;2554017;2
1184;397926;2583854;3
1214;383570;2549775;2
1438;396920;2546641;4
1661;357616;2554906;18
1855;380368;2551125;4
1856;397926;2583854;4
1857;393933;2560766;2
1858;397926;2583854;4
1859;393933;2560766;8
1869;397926;2583854;4
1870;395792;2547651;4
1871;397926;2583854;4
1960;397926;2583854;4
1968;381989;2552096;6
2038;384746;2548318;4
2091;378436;2545169;2
