ID;xFeet;yFeet;demand
0;-4840890;4181069;0
65;-4847832;4186054;4
66;-4847782;4186507;6
67;-4847781;4186407;12
68;-4847773;4187101;8
69;-4847670;4187866;12
70;-4847651;4187863;6
71;-4847651;4187863;6
72;-4847651;4187863;4
73;-4857235;4190535;2
74;-4857227;4190117;16
75;-4847910;4188870;5
76;-4847582;4188405;8
77;-4847442;4189124;4
78;-4861553;4192666;4
79;-4855111;4199314;4
80;-4855077;4199507;4
81;-4855076;4199511;6
82;-4854754;4198649;24
83;-4854731;4201494;8
84;-4854259;4198567;3
85;-4854227;4197174;4
86;-4853392;4201590;16
87;-4848260;4201545;6
99;-4847238;4183012;6
100;-4846865;4187848;8
101;-4845046;4187719;6
