ID;xFeet;yFeet;demand
0;-4840890;4181069;0
240;-4824713;4213096;4
241;-4824400;4213884;4
242;-4824230;4211143;3
243;-4823950;4213825;3
244;-4823808;4211391;16
245;-4823640;4213752;8
246;-4823600;4213764;4
247;-4822479;4210468;6
248;-4822472;4210394;4
249;-4822460;4210465;8
250;-4822204;4209547;3
251;-4822012;4213081;12
252;-4820158;4213154;32
253;-4819888;4213122;8
254;-4819837;4213112;4
255;-4819765;4210494;8
256;-4819764;4210496;4
257;-4819746;4210491;8
258;-4819693;4213065;8
259;-4819493;4215776;24
260;-4819490;4215795;8
261;-4819470;4210260;20
262;-4819264;4213397;6
263;-4819170;4213811;3
264;-4817688;4209915;24
265;-4817374;4212560;8
266;-4817196;4210041;3
267;-4817072;4212503;6
268;-4817072;4212503;6
269;-4816865;4211977;4
270;-4816618;4213194;8
271;-4816156;4212317;8
272;-4816056;4212316;6
273;-4815626;4212217;8
274;-4814504;4211921;6
5;-4880227;4200223;8
6;-4879309;4199439;10
7;-4879044;4201009;8
8;-4879002;4197026;6
9;-4878198;4198208;16
10;-4876484;4197661;8
11;-4876457;4200979;4
12;-4875693;4201032;16
13;-4875278;4195396;6
14;-4875216;4201412;16
15;-4874939;4199870;16
16;-4874762;4200997;4
17;-4874121;4198859;8
18;-4874120;4198840;8
19;-4873939;4199684;16
20;-4873939;4199684;8
21;-4873201;4198921;6
22;-4873190;4198986;8
23;-4873010;4200029;16
24;-4872849;4198634;4
25;-4872472;4200332;4
26;-4872472;4200332;4
27;-4872329;4199827;8
28;-4871587;4200995;6
29;-4871267;4198016;8
30;-4871255;4197971;4
31;-4871218;4198195;6
32;-4871162;4198519;3
33;-4871162;4198519;3
34;-4871061;4200078;30
35;-4870032;4201704;4
36;-4869863;4199883;8
37;-4869806;4199873;8
38;-4869056;4199768;34
39;-4868630;4197966;6
40;-4868630;4197966;8
41;-4868521;4199656;18
42;-4868210;4199601;4
43;-4867528;4200370;4
44;-4867524;4199504;3
45;-4867360;4201356;6
46;-4867041;4199620;3
47;-4866980;4199951;8
48;-4866592;4199347;8
49;-4866100;4199418;8
50;-4866079;4199652;3
51;-4865843;4198931;8
102;-4847239;4189268;6
103;-4847224;4190513;6
104;-4847205;4190510;6
105;-4847131;4190941;8
106;-4846879;4192412;4
107;-4846560;4190997;4
108;-4846159;4193511;18
109;-4846146;4193509;4
110;-4846111;4194774;8
111;-4846018;4190665;4
112;-4846012;4190696;4
113;-4845957;4194648;4
114;-4845951;4194647;8
115;-4845865;4192811;6
116;-4845688;4192594;8
117;-4845480;4193780;3
118;-4845474;4188320;10
119;-4845111;4193683;18
120;-4844980;4188035;6
121;-4844794;4190224;4
122;-4844497;4190743;8
123;-4844473;4192168;6
124;-4844408;4191512;12
125;-4843871;4194566;51
126;-4843816;4193906;8
127;-4843813;4193925;4
128;-4843471;4193847;8
129;-4843010;4193167;6
130;-4843007;4193186;8
131;-4842832;4194108;8
132;-4841499;4192917;4
133;-4841424;4190503;8
134;-4841234;4193466;8
135;-4840842;4194908;8
136;-4840513;4194691;3
137;-4839950;4189363;4
138;-4839928;4188044;10
139;-4839492;4189104;4
140;-4839421;4192398;8
141;-4839241;4192368;8
142;-4838849;4192855;4
143;-4838763;4193064;3
144;-4838666;4192293;4
145;-4838520;4193003;3
146;-4838410;4194504;4
147;-4838286;4190798;16
148;-4838105;4194452;8
149;-4837886;4188976;8
150;-4837754;4194394;3
151;-4837432;4194342;3
152;-4837249;4194484;3
153;-4836561;4193068;3
154;-4846395;4201227;4
155;-4846328;4201235;4
156;-4845967;4195662;3
157;-4845853;4196339;18
158;-4845776;4195784;4
159;-4845655;4197482;6
160;-4845655;4197479;3
161;-4845243;4198913;4
162;-4845215;4197815;3
163;-4845195;4196863;16
164;-4844990;4199071;4
165;-4844978;4199034;3
166;-4844953;4198338;3
167;-4844701;4195266;8
168;-4844371;4195930;12
169;-4844278;4199857;8
170;-4844195;4195487;36
171;-4844154;4198225;3
172;-4843680;4200772;18
173;-4843508;4198599;4
174;-4843235;4198247;2
175;-4843168;4197625;4
176;-4843159;4198693;6
177;-4843155;4197623;4
178;-4843067;4196960;3
179;-4843052;4195305;6
180;-4842950;4199897;6
181;-4842719;4197551;4
182;-4842589;4198437;4
183;-4842541;4200151;6
184;-4842430;4195198;3
185;-4842350;4200529;34
186;-4842273;4195152;6
187;-4841823;4200035;16
188;-4841394;4200385;8
189;-4841303;4195202;4
190;-4841288;4192729;4
191;-4841285;4195194;4
192;-4841061;4200332;8
193;-4840423;4199203;16
194;-4839456;4195192;4
195;-4838670;4199929;4
196;-4838440;4197237;4
197;-4838415;4199292;3
198;-4837647;4199912;4
199;-4837153;4193152;28
200;-4836671;4196264;4
201;-4836533;4196928;8
202;-4836208;4199477;6
203;-4835883;4203295;6
204;-4835566;4199368;6
205;-4835327;4196696;6
206;-4835212;4204667;18
207;-4834897;4204636;6
208;-4834751;4203624;6
209;-4834365;4203267;8
210;-4834365;4203267;8
211;-4837128;4193167;3
212;-4836955;4202666;6
213;-4825990;4203924;4
214;-4825850;4205260;4
215;-4825273;4208561;4
216;-4825162;4204443;6
217;-4824524;4208444;2
218;-4823618;4203685;4
219;-4823509;4204299;8
220;-4823198;4206156;4
221;-4822585;4208071;26
222;-4822582;4208090;6
223;-4822514;4208588;8
224;-4821966;4207961;6
225;-4821896;4208408;4
226;-4820730;4207127;4
227;-4820713;4207719;6
228;-4820313;4207219;6
229;-4820309;4207240;6
230;-4820002;4207600;6
231;-4819586;4207514;6
232;-4819372;4207451;28
233;-4819314;4207459;6
234;-4818901;4207353;4
235;-4818896;4207372;3
236;-4818741;4207316;8
237;-4818736;4207335;2
238;-4818511;4207269;2
239;-4817620;4207807;4
52;-4878620;4204190;4
53;-4878365;4204829;6
54;-4878057;4204944;16
55;-4875957;4204515;8
56;-4875409;4203825;6
57;-4875273;4204431;8
58;-4874587;4204087;8
59;-4874510;4203382;8
60;-4874207;4204174;6
61;-4874193;4204257;4
62;-4874001;4205408;16
63;-4870080;4202076;6
64;-4867765;4210352;6
88;-4863259;4204176;6
89;-4863213;4206332;8
90;-4862955;4207795;12
91;-4862580;4207287;6
92;-4862205;4203990;6
93;-4862189;4204007;16
94;-4862175;4204004;4
95;-4862085;4207033;8
96;-4862047;4207026;8
97;-4861521;4203864;8
98;-4863516;4210404;3
65;-4847832;4186054;4
66;-4847782;4186507;6
67;-4847781;4186407;12
68;-4847773;4187101;8
69;-4847670;4187866;12
70;-4847651;4187863;6
71;-4847651;4187863;6
72;-4847651;4187863;4
73;-4857235;4190535;2
74;-4857227;4190117;16
75;-4847910;4188870;5
76;-4847582;4188405;8
77;-4847442;4189124;4
78;-4861553;4192666;4
79;-4855111;4199314;4
80;-4855077;4199507;4
81;-4855076;4199511;6
82;-4854754;4198649;24
83;-4854731;4201494;8
84;-4854259;4198567;3
85;-4854227;4197174;4
86;-4853392;4201590;16
87;-4848260;4201545;6
99;-4847238;4183012;6
100;-4846865;4187848;8
101;-4845046;4187719;6
1;-4877170;4193665;8
2;-4876477;4191299;8
3;-4873130;4194402;8
4;-4873130;4194402;6
