 ID;xFeet;yFeet;demand
0;-4880227;4181069;0
5;-4880227;4200223;8
6;-4879309;4199439;10
7;-4879044;4201009;8
8;-4879002;4197026;6
9;-4878198;4198208;16
10;-4876484;4197661;8
11;-4876457;4200979;4
12;-4875693;4201032;16
13;-4875278;4195396;6
14;-4875216;4201412;16
15;-4874939;4199870;16
16;-4874762;4200997;4
17;-4874121;4198859;8
18;-4874120;4198840;8
19;-4873939;4199684;16
20;-4873939;4199684;8
21;-4873201;4198921;6
22;-4873190;4198986;8
23;-4873010;4200029;16
24;-4872849;4198634;4
25;-4872472;4200332;4
26;-4872472;4200332;4
27;-4872329;4199827;8
28;-4871587;4200995;6
29;-4871267;4198016;8
30;-4871255;4197971;4
31;-4871218;4198195;6
32;-4871162;4198519;3
33;-4871162;4198519;3
34;-4871061;4200078;30
35;-4870032;4201704;4
36;-4869863;4199883;8
37;-4869806;4199873;8
38;-4869056;4199768;34
39;-4868630;4197966;6
40;-4868630;4197966;8
41;-4868521;4199656;18
42;-4868210;4199601;4
43;-4867528;4200370;4
44;-4867524;4199504;3
45;-4867360;4201356;6
46;-4867041;4199620;3
47;-4866980;4199951;8
48;-4866592;4199347;8
49;-4866100;4199418;8
50;-4866079;4199652;3
51;-4865843;4198931;8
