ID;xFeet;yFeet;demand
0;-4880227;4181069;0
240;-4824713;4213096;4
241;-4824400;4213884;4
242;-4824230;4211143;3
243;-4823950;4213825;3
244;-4823808;4211391;16
245;-4823640;4213752;8
246;-4823600;4213764;4
247;-4822479;4210468;6
248;-4822472;4210394;4
249;-4822460;4210465;8
250;-4822204;4209547;3
251;-4822012;4213081;12
252;-4820158;4213154;32
253;-4819888;4213122;8
254;-4819837;4213112;4
255;-4819765;4210494;8
256;-4819764;4210496;4
257;-4819746;4210491;8
258;-4819693;4213065;8
259;-4819493;4215776;24
260;-4819490;4215795;8
261;-4819470;4210260;20
262;-4819264;4213397;6
263;-4819170;4213811;3
264;-4817688;4209915;24
265;-4817374;4212560;8
266;-4817196;4210041;3
267;-4817072;4212503;6
268;-4817072;4212503;6
269;-4816865;4211977;4
270;-4816618;4213194;8
271;-4816156;4212317;8
272;-4816056;4212316;6
273;-4815626;4212217;8
274;-4814504;4211921;6
